hardware_role,num_parallel,n,aggregate_tok_s,per_request_tok_s
Tesla T4 (datacenter),1,1,69.2,142.0
Tesla T4 (datacenter),1,2,74.0,141.3
Tesla T4 (datacenter),1,4,74.1,138.0
Tesla T4 (datacenter),1,8,73.4,137.9
Tesla T4 (datacenter),1,16,76.4,138.3
Tesla T4 (datacenter),1,32,73.4,136.3
Tesla T4 (datacenter),8,1,72.6,137.3
Tesla T4 (datacenter),8,2,93.6,99.3
Tesla T4 (datacenter),8,4,102.8,47.2
Tesla T4 (datacenter),8,8,117.3,24.6
Tesla T4 (datacenter),8,16,125.3,25.5
Tesla T4 (datacenter),8,32,121.9,25.2
GTX 1060 3 GB,1,1,59.6,97.3
GTX 1060 3 GB,1,2,74.5,98.2
GTX 1060 3 GB,1,4,84.5,98.0
GTX 1060 3 GB,1,8,90.2,97.7
GTX 1060 3 GB,1,16,93.2,97.2
GTX 1060 3 GB,1,32,94.6,96.8
GTX 1060 3 GB,4,1,73.6,74.2
GTX 1060 3 GB,4,2,88.0,45.7
GTX 1060 3 GB,4,4,112.1,29.8
GTX 1060 3 GB,4,8,120.7,30.3
GTX 1060 3 GB,4,16,120.4,30.3
GTX 1060 3 GB,4,32,119.9,30.2
