backend,n,workers,median_ms,timed_sorts
cpu_sequential,10,1,0.000013,10000
cpu_parallel,10,16,0.000020,10000
cpu_sequential,100,1,0.000362,1000
cpu_parallel,100,16,0.000389,1000
cpu_sequential,1000,1,0.005062,100
cpu_parallel,1000,16,0.011449,100
cpu_sequential,10000,1,0.313136,10
cpu_parallel,10000,16,0.022943,10
cpu_sequential,100000,1,4.049962,1
cpu_parallel,100000,16,0.434295,1
cpu_sequential,1000000,1,48.151929,1
cpu_parallel,1000000,16,6.944073,1
cpu_sequential,5000000,1,245.844467,1
cpu_parallel,5000000,16,25.451654,1
cpu_sequential,10000000,1,540.742900,1
cpu_parallel,10000000,16,52.051139,1
